"RelativeCompactness","SurfaceArea","WallArea","RoofArea","OverallHeight","Orientation","GlazingArea","GlazingAreaDistribution","UnitId","HeatingLoad"
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,1.0,15.55
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,2.0,15.55
0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0,3.0,15.55
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,4.0,15.55
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,5.0,20.84
0.9,563.5,318.5,122.5,7.0,3.0,0.0,0.0,6.0,21.46
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,7.0,20.71
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,8.0,19.68
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,9.0,19.5
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,10.0,19.95
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,11.0,19.34
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,12.0,18.31
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0,13.0,17.05
0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0,14.0,17.41
0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0,15.0,16.95
0.82,612.5,318.5,147.0,7.0,5.0,0.0,0.0,16.0,15.98
0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0,17.0,28.52
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,18.0,29.9
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,19.0,29.63
0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0,20.0,28.75
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,21.0,24.77
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,22.0,23.93
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,23.0,24.77
0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0,24.0,23.93
0.74,686.0,245.0,220.5,3.5,2.0,0.0,0.0,25.0,6.07
0.74,686.0,245.0,220.5,3.5,3.0,0.0,0.0,26.0,6.05
0.74,686.0,245.0,220.5,3.5,4.0,0.0,0.0,27.0,6.01
0.74,686.0,245.0,220.5,3.5,5.0,0.0,0.0,28.0,6.04
0.71,710.5,269.5,220.5,3.5,2.0,0.0,0.0,29.0,6.37
0.71,710.5,269.5,220.5,3.5,3.0,0.0,0.0,30.0,6.4
0.71,710.5,269.5,220.5,3.5,4.0,0.0,0.0,31.0,6.37
0.71,710.5,269.5,220.5,3.5,5.0,0.0,0.0,32.0,6.4
0.69,735.0,294.0,220.5,3.5,2.0,0.0,0.0,33.0,6.85
0.69,735.0,294.0,220.5,3.5,3.0,0.0,0.0,34.0,6.79
0.69,735.0,294.0,220.5,3.5,4.0,0.0,0.0,35.0,6.77
0.69,735.0,294.0,220.5,3.5,5.0,0.0,0.0,36.0,6.81
0.66,759.5,318.5,220.5,3.5,2.0,0.0,0.0,37.0,7.18
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,38.0,7.1
0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,39.0,7.1
0.66,759.5,318.5,220.5,3.5,5.0,0.0,0.0,40.0,7.1
0.64,784.0,343.0,220.5,3.5,2.0,0.0,0.0,41.0,10.85
0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,42.0,10.54
0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,43.0,10.77
0.64,784.0,343.0,220.5,3.5,5.0,0.0,0.0,44.0,10.56
0.62,808.5,367.5,220.5,3.5,2.0,0.0,0.0,45.0,8.6
0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,46.0,8.49
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,47.0,8.45
0.62,808.5,367.5,220.5,3.5,5.0,0.0,0.0,48.0,8.5
0.98,514.5,294.0,110.25,7.0,2.0,0.1,1.0,49.0,24.58
0.98,514.5,294.0,110.25,7.0,3.0,0.1,1.0,50.0,24.63
0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,51.0,24.63
0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,52.0,24.59
0.9,563.5,318.5,122.5,7.0,2.0,0.1,1.0,53.0,29.03
0.9,563.5,318.5,122.5,7.0,3.0,0.1,1.0,54.0,29.87
0.9,563.5,318.5,122.5,7.0,4.0,0.1,1.0,55.0,29.14
0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,56.0,28.09
0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,57.0,26.28
0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,58.0,26.91
0.86,588.0,294.0,147.0,7.0,4.0,0.1,1.0,59.0,26.37
0.86,588.0,294.0,147.0,7.0,5.0,0.1,1.0,60.0,25.27
0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,61.0,23.53
0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,62.0,24.03
0.82,612.5,318.5,147.0,7.0,4.0,0.1,1.0,63.0,23.54
0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,64.0,22.58
0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,65.0,35.56
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,66.0,37.12
0.79,637.0,343.0,147.0,7.0,4.0,0.1,1.0,67.0,36.9
0.79,637.0,343.0,147.0,7.0,5.0,0.1,1.0,68.0,35.94
0.76,661.5,416.5,122.5,7.0,2.0,0.1,1.0,69.0,32.96
0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,70.0,32.12
0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,71.0,32.94
0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,72.0,32.21
0.74,686.0,245.0,220.5,3.5,2.0,0.1,1.0,73.0,10.36
0.74,686.0,245.0,220.5,3.5,3.0,0.1,1.0,74.0,10.43
0.74,686.0,245.0,220.5,3.5,4.0,0.1,1.0,75.0,10.36
0.74,686.0,245.0,220.5,3.5,5.0,0.1,1.0,76.0,10.39
0.71,710.5,269.5,220.5,3.5,2.0,0.1,1.0,77.0,10.71
0.71,710.5,269.5,220.5,3.5,3.0,0.1,1.0,78.0,10.8
0.71,710.5,269.5,220.5,3.5,4.0,0.1,1.0,79.0,10.7
0.71,710.5,269.5,220.5,3.5,5.0,0.1,1.0,80.0,10.75
0.69,735.0,294.0,220.5,3.5,2.0,0.1,1.0,81.0,11.11
0.69,735.0,294.0,220.5,3.5,3.0,0.1,1.0,82.0,11.13
0.69,735.0,294.0,220.5,3.5,4.0,0.1,1.0,83.0,11.09
0.69,735.0,294.0,220.5,3.5,5.0,0.1,1.0,84.0,11.16
0.66,759.5,318.5,220.5,3.5,2.0,0.1,1.0,85.0,11.68
0.66,759.5,318.5,220.5,3.5,3.0,0.1,1.0,86.0,11.69
0.66,759.5,318.5,220.5,3.5,4.0,0.1,1.0,87.0,11.7
0.66,759.5,318.5,220.5,3.5,5.0,0.1,1.0,88.0,11.69
0.64,784.0,343.0,220.5,3.5,2.0,0.1,1.0,89.0,15.41
0.64,784.0,343.0,220.5,3.5,3.0,0.1,1.0,90.0,15.2
0.64,784.0,343.0,220.5,3.5,4.0,0.1,1.0,91.0,15.42
0.64,784.0,343.0,220.5,3.5,5.0,0.1,1.0,92.0,15.21
0.62,808.5,367.5,220.5,3.5,2.0,0.1,1.0,93.0,12.96
0.62,808.5,367.5,220.5,3.5,3.0,0.1,1.0,94.0,12.97
0.62,808.5,367.5,220.5,3.5,4.0,0.1,1.0,95.0,12.93
0.62,808.5,367.5,220.5,3.5,5.0,0.1,1.0,96.0,13.02
0.98,514.5,294.0,110.25,7.0,2.0,0.1,2.0,97.0,24.29
0.98,514.5,294.0,110.25,7.0,3.0,0.1,2.0,98.0,24.31
0.98,514.5,294.0,110.25,7.0,4.0,0.1,2.0,99.0,24.13
0.98,514.5,294.0,110.25,7.0,5.0,0.1,2.0,100.0,24.25
0.9,563.5,318.5,122.5,7.0,2.0,0.1,2.0,101.0,28.88
0.9,563.5,318.5,122.5,7.0,3.0,0.1,2.0,102.0,29.68
0.9,563.5,318.5,122.5,7.0,4.0,0.1,2.0,103.0,28.83
0.9,563.5,318.5,122.5,7.0,5.0,0.1,2.0,104.0,27.9
0.86,588.0,294.0,147.0,7.0,2.0,0.1,2.0,105.0,26.48
0.86,588.0,294.0,147.0,7.0,3.0,0.1,2.0,106.0,27.02
0.86,588.0,294.0,147.0,7.0,4.0,0.1,2.0,107.0,26.33
0.86,588.0,294.0,147.0,7.0,5.0,0.1,2.0,108.0,25.36
0.82,612.5,318.5,147.0,7.0,2.0,0.1,2.0,109.0,23.75
0.82,612.5,318.5,147.0,7.0,3.0,0.1,2.0,110.0,24.23
0.82,612.5,318.5,147.0,7.0,4.0,0.1,2.0,111.0,23.67
0.82,612.5,318.5,147.0,7.0,5.0,0.1,2.0,112.0,22.79
0.79,637.0,343.0,147.0,7.0,2.0,0.1,2.0,113.0,35.65
0.79,637.0,343.0,147.0,7.0,3.0,0.1,2.0,114.0,37.26
0.79,637.0,343.0,147.0,7.0,4.0,0.1,2.0,115.0,36.97
0.79,637.0,343.0,147.0,7.0,5.0,0.1,2.0,116.0,36.03
0.76,661.5,416.5,122.5,7.0,2.0,0.1,2.0,117.0,33.16
0.76,661.5,416.5,122.5,7.0,3.0,0.1,2.0,118.0,32.4
0.76,661.5,416.5,122.5,7.0,4.0,0.1,2.0,119.0,33.12
0.76,661.5,416.5,122.5,7.0,5.0,0.1,2.0,120.0,32.41
0.74,686.0,245.0,220.5,3.5,2.0,0.1,2.0,121.0,10.42
0.74,686.0,245.0,220.5,3.5,3.0,0.1,2.0,122.0,10.46
0.74,686.0,245.0,220.5,3.5,4.0,0.1,2.0,123.0,10.32
0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,124.0,10.45
0.71,710.5,269.5,220.5,3.5,2.0,0.1,2.0,125.0,10.64
0.71,710.5,269.5,220.5,3.5,3.0,0.1,2.0,126.0,10.72
0.71,710.5,269.5,220.5,3.5,4.0,0.1,2.0,127.0,10.55
0.71,710.5,269.5,220.5,3.5,5.0,0.1,2.0,128.0,10.68
0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,129.0,11.45
0.69,735.0,294.0,220.5,3.5,3.0,0.1,2.0,130.0,11.46
0.69,735.0,294.0,220.5,3.5,4.0,0.1,2.0,131.0,11.32
0.69,735.0,294.0,220.5,3.5,5.0,0.1,2.0,132.0,11.49
0.66,759.5,318.5,220.5,3.5,2.0,0.1,2.0,133.0,11.45
0.66,759.5,318.5,220.5,3.5,3.0,0.1,2.0,134.0,11.42
0.66,759.5,318.5,220.5,3.5,4.0,0.1,2.0,135.0,11.33
0.66,759.5,318.5,220.5,3.5,5.0,0.1,2.0,136.0,11.43
0.64,784.0,343.0,220.5,3.5,2.0,0.1,2.0,137.0,15.41
0.64,784.0,343.0,220.5,3.5,3.0,0.1,2.0,138.0,15.18
0.64,784.0,343.0,220.5,3.5,4.0,0.1,2.0,139.0,15.34
0.64,784.0,343.0,220.5,3.5,5.0,0.1,2.0,140.0,15.19
0.62,808.5,367.5,220.5,3.5,2.0,0.1,2.0,141.0,12.88
0.62,808.5,367.5,220.5,3.5,3.0,0.1,2.0,142.0,13.0
0.62,808.5,367.5,220.5,3.5,4.0,0.1,2.0,143.0,12.97
0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,144.0,13.04
0.98,514.5,294.0,110.25,7.0,2.0,0.1,3.0,145.0,24.28
0.98,514.5,294.0,110.25,7.0,3.0,0.1,3.0,146.0,24.4
0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,147.0,24.11
0.98,514.5,294.0,110.25,7.0,5.0,0.1,3.0,148.0,24.35
0.9,563.5,318.5,122.5,7.0,2.0,0.1,3.0,149.0,28.07
0.9,563.5,318.5,122.5,7.0,3.0,0.1,3.0,150.0,29.01
0.9,563.5,318.5,122.5,7.0,4.0,0.1,3.0,151.0,29.62
0.9,563.5,318.5,122.5,7.0,5.0,0.1,3.0,152.0,29.05
0.86,588.0,294.0,147.0,7.0,2.0,0.1,3.0,153.0,25.41
0.86,588.0,294.0,147.0,7.0,3.0,0.1,3.0,154.0,26.47
0.86,588.0,294.0,147.0,7.0,4.0,0.1,3.0,155.0,26.89
0.86,588.0,294.0,147.0,7.0,5.0,0.1,3.0,156.0,26.46
0.82,612.5,318.5,147.0,7.0,2.0,0.1,3.0,157.0,22.93
0.82,612.5,318.5,147.0,7.0,3.0,0.1,3.0,158.0,23.84
0.82,612.5,318.5,147.0,7.0,4.0,0.1,3.0,159.0,24.17
0.82,612.5,318.5,147.0,7.0,5.0,0.1,3.0,160.0,23.87
0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,161.0,35.78
0.79,637.0,343.0,147.0,7.0,3.0,0.1,3.0,162.0,35.48
0.79,637.0,343.0,147.0,7.0,4.0,0.1,3.0,163.0,36.97
0.79,637.0,343.0,147.0,7.0,5.0,0.1,3.0,164.0,36.7
0.76,661.5,416.5,122.5,7.0,2.0,0.1,3.0,165.0,32.52
0.76,661.5,416.5,122.5,7.0,3.0,0.1,3.0,166.0,33.28
0.76,661.5,416.5,122.5,7.0,4.0,0.1,3.0,167.0,32.33
0.76,661.5,416.5,122.5,7.0,5.0,0.1,3.0,168.0,33.24
0.74,686.0,245.0,220.5,3.5,2.0,0.1,3.0,169.0,10.39
0.74,686.0,245.0,220.5,3.5,3.0,0.1,3.0,170.0,10.34
0.74,686.0,245.0,220.5,3.5,4.0,0.1,3.0,171.0,10.35
0.74,686.0,245.0,220.5,3.5,5.0,0.1,3.0,172.0,10.38
0.71,710.5,269.5,220.5,3.5,2.0,0.1,3.0,173.0,10.77
0.71,710.5,269.5,220.5,3.5,3.0,0.1,3.0,174.0,10.68
0.71,710.5,269.5,220.5,3.5,4.0,0.1,3.0,175.0,10.68
0.71,710.5,269.5,220.5,3.5,5.0,0.1,3.0,176.0,10.7
0.69,735.0,294.0,220.5,3.5,2.0,0.1,3.0,177.0,11.22
0.69,735.0,294.0,220.5,3.5,3.0,0.1,3.0,178.0,11.16
0.69,735.0,294.0,220.5,3.5,4.0,0.1,3.0,179.0,11.1
0.69,735.0,294.0,220.5,3.5,5.0,0.1,3.0,180.0,11.14
0.66,759.5,318.5,220.5,3.5,2.0,0.1,3.0,181.0,11.59
0.66,759.5,318.5,220.5,3.5,3.0,0.1,3.0,182.0,11.6
0.66,759.5,318.5,220.5,3.5,4.0,0.1,3.0,183.0,11.53
0.66,759.5,318.5,220.5,3.5,5.0,0.1,3.0,184.0,11.61
0.64,784.0,343.0,220.5,3.5,2.0,0.1,3.0,185.0,15.16
0.64,784.0,343.0,220.5,3.5,3.0,0.1,3.0,186.0,15.36
0.64,784.0,343.0,220.5,3.5,4.0,0.1,3.0,187.0,15.12
0.64,784.0,343.0,220.5,3.5,5.0,0.1,3.0,188.0,15.36
0.62,808.5,367.5,220.5,3.5,2.0,0.1,3.0,189.0,12.68
0.62,808.5,367.5,220.5,3.5,3.0,0.1,3.0,190.0,12.63
0.62,808.5,367.5,220.5,3.5,4.0,0.1,3.0,191.0,12.71
0.62,808.5,367.5,220.5,3.5,5.0,0.1,3.0,192.0,12.73
0.98,514.5,294.0,110.25,7.0,2.0,0.1,4.0,193.0,24.38
0.98,514.5,294.0,110.25,7.0,3.0,0.1,4.0,194.0,24.23
0.98,514.5,294.0,110.25,7.0,4.0,0.1,4.0,195.0,24.04
0.98,514.5,294.0,110.25,7.0,5.0,0.1,4.0,196.0,24.32
0.9,563.5,318.5,122.5,7.0,2.0,0.1,4.0,197.0,29.06
0.9,563.5,318.5,122.5,7.0,3.0,0.1,4.0,198.0,28.05
0.9,563.5,318.5,122.5,7.0,4.0,0.1,4.0,199.0,28.86
0.9,563.5,318.5,122.5,7.0,5.0,0.1,4.0,200.0,29.79
0.86,588.0,294.0,147.0,7.0,2.0,0.1,4.0,201.0,26.44
0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,202.0,25.37
0.86,588.0,294.0,147.0,7.0,4.0,0.1,4.0,203.0,26.33
0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,204.0,27.03
0.82,612.5,318.5,147.0,7.0,2.0,0.1,4.0,205.0,23.8
0.82,612.5,318.5,147.0,7.0,3.0,0.1,4.0,206.0,22.8
0.82,612.5,318.5,147.0,7.0,4.0,0.1,4.0,207.0,23.59
0.82,612.5,318.5,147.0,7.0,5.0,0.1,4.0,208.0,24.24
0.79,637.0,343.0,147.0,7.0,2.0,0.1,4.0,209.0,36.86
0.79,637.0,343.0,147.0,7.0,3.0,0.1,4.0,210.0,35.89
0.79,637.0,343.0,147.0,7.0,4.0,0.1,4.0,211.0,35.45
0.79,637.0,343.0,147.0,7.0,5.0,0.1,4.0,212.0,37.1
0.76,661.5,416.5,122.5,7.0,2.0,0.1,4.0,213.0,33.08
0.76,661.5,416.5,122.5,7.0,3.0,0.1,4.0,214.0,32.38
0.76,661.5,416.5,122.5,7.0,4.0,0.1,4.0,215.0,33.09
0.76,661.5,416.5,122.5,7.0,5.0,0.1,4.0,216.0,32.31
0.74,686.0,245.0,220.5,3.5,2.0,0.1,4.0,217.0,10.08
0.74,686.0,245.0,220.5,3.5,3.0,0.1,4.0,218.0,10.15
0.74,686.0,245.0,220.5,3.5,4.0,0.1,4.0,219.0,10.07
0.74,686.0,245.0,220.5,3.5,5.0,0.1,4.0,220.0,10.14
0.71,710.5,269.5,220.5,3.5,2.0,0.1,4.0,221.0,10.66
0.71,710.5,269.5,220.5,3.5,3.0,0.1,4.0,222.0,10.68
0.71,710.5,269.5,220.5,3.5,4.0,0.1,4.0,223.0,10.53
0.71,710.5,269.5,220.5,3.5,5.0,0.1,4.0,224.0,10.72
0.69,735.0,294.0,220.5,3.5,2.0,0.1,4.0,225.0,11.18
0.69,735.0,294.0,220.5,3.5,3.0,0.1,4.0,226.0,11.22
0.69,735.0,294.0,220.5,3.5,4.0,0.1,4.0,227.0,11.07
0.69,735.0,294.0,220.5,3.5,5.0,0.1,4.0,228.0,11.2
0.66,759.5,318.5,220.5,3.5,2.0,0.1,4.0,229.0,11.44
0.66,759.5,318.5,220.5,3.5,3.0,0.1,4.0,230.0,11.42
0.66,759.5,318.5,220.5,3.5,4.0,0.1,4.0,231.0,11.33
0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,232.0,11.43
0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,233.0,15.4
0.64,784.0,343.0,220.5,3.5,3.0,0.1,4.0,234.0,15.19
0.64,784.0,343.0,220.5,3.5,4.0,0.1,4.0,235.0,15.32
0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,236.0,15.16
0.62,808.5,367.5,220.5,3.5,2.0,0.1,4.0,237.0,12.85
0.62,808.5,367.5,220.5,3.5,3.0,0.1,4.0,238.0,13.04
0.62,808.5,367.5,220.5,3.5,4.0,0.1,4.0,239.0,13.0
0.62,808.5,367.5,220.5,3.5,5.0,0.1,4.0,240.0,13.0
0.98,514.5,294.0,110.25,7.0,2.0,0.1,5.0,241.0,24.35
0.98,514.5,294.0,110.25,7.0,3.0,0.1,5.0,242.0,24.33
0.98,514.5,294.0,110.25,7.0,4.0,0.1,5.0,243.0,24.03
0.98,514.5,294.0,110.25,7.0,5.0,0.1,5.0,244.0,24.26
0.9,563.5,318.5,122.5,7.0,2.0,0.1,5.0,245.0,29.83
0.9,563.5,318.5,122.5,7.0,3.0,0.1,5.0,246.0,29.08
0.9,563.5,318.5,122.5,7.0,4.0,0.1,5.0,247.0,28.03
0.9,563.5,318.5,122.5,7.0,5.0,0.1,5.0,248.0,29.02
0.86,588.0,294.0,147.0,7.0,2.0,0.1,5.0,249.0,27.03
0.86,588.0,294.0,147.0,7.0,3.0,0.1,5.0,250.0,26.45
0.86,588.0,294.0,147.0,7.0,4.0,0.1,5.0,251.0,25.36
0.86,588.0,294.0,147.0,7.0,5.0,0.1,5.0,252.0,26.45
0.82,612.5,318.5,147.0,7.0,2.0,0.1,5.0,253.0,24.37
0.82,612.5,318.5,147.0,7.0,3.0,0.1,5.0,254.0,23.89
0.82,612.5,318.5,147.0,7.0,4.0,0.1,5.0,255.0,22.89
0.82,612.5,318.5,147.0,7.0,5.0,0.1,5.0,256.0,23.86
0.79,637.0,343.0,147.0,7.0,2.0,0.1,5.0,257.0,37.03
